"StichtagDatJahr","DatenstandCd","GbdArtSSZPubl1Sort","GbdArtSSZPubl1Cd","GbdArtSSZPubl1Lang","AnzNeubauGbd_noDM","AnzAbbruchGbd_noDM"
2000,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",84,17
2000,"D",3,"3","Wohnhäuser mit Geschäftsräumen",12,7
2000,"D",4,"4","Nichtwohngebäude",96,236
2001,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",16,65
2001,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",73,14
2001,"D",3,"3","Wohnhäuser mit Geschäftsräumen",19,10
2001,"D",4,"4","Nichtwohngebäude",70,160
2002,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",29,11
2002,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",82,38
2002,"D",3,"3","Wohnhäuser mit Geschäftsräumen",15,13
2002,"D",4,"4","Nichtwohngebäude",60,284
2003,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",50,19
2003,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",117,17
2003,"D",3,"3","Wohnhäuser mit Geschäftsräumen",13,3
2003,"D",4,"4","Nichtwohngebäude",61,216
2004,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",8,21
2004,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",76,54
2004,"D",3,"3","Wohnhäuser mit Geschäftsräumen",21,10
2004,"D",4,"4","Nichtwohngebäude",61,260
2005,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",14,84
2005,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",72,50
2005,"D",3,"3","Wohnhäuser mit Geschäftsräumen",23,14
2005,"D",4,"4","Nichtwohngebäude",56,184
2006,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",15,45
2006,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",91,14
2006,"D",3,"3","Wohnhäuser mit Geschäftsräumen",18,10
2006,"D",4,"4","Nichtwohngebäude",88,115
2007,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",68,10
2007,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",143,62
2007,"D",3,"3","Wohnhäuser mit Geschäftsräumen",31,19
2007,"D",4,"4","Nichtwohngebäude",100,93
2008,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",14,27
2008,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",118,96
2008,"D",3,"3","Wohnhäuser mit Geschäftsräumen",9,13
2008,"D",4,"4","Nichtwohngebäude",28,108
2009,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",6,144
2009,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",107,81
2009,"D",3,"3","Wohnhäuser mit Geschäftsräumen",13,16
2009,"D",4,"4","Nichtwohngebäude",55,96
2010,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",15,70
2010,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",107,82
2010,"D",3,"3","Wohnhäuser mit Geschäftsräumen",18,29
2010,"D",4,"4","Nichtwohngebäude",370,333
2011,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",8,120
2011,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",192,84
2011,"D",3,"3","Wohnhäuser mit Geschäftsräumen",24,14
2011,"D",4,"4","Nichtwohngebäude",408,178
2012,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",80,39
2012,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",135,123
2012,"D",3,"3","Wohnhäuser mit Geschäftsräumen",32,9
2012,"D",4,"4","Nichtwohngebäude",238,128
2013,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",36,41
2013,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",116,69
2013,"D",3,"3","Wohnhäuser mit Geschäftsräumen",44,16
2013,"D",4,"4","Nichtwohngebäude",179,139
2014,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",15,126
2014,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",109,134
2014,"D",3,"3","Wohnhäuser mit Geschäftsräumen",33,18
2014,"D",4,"4","Nichtwohngebäude",265,94
2015,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",44,52
2015,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",145,99
2015,"D",3,"3","Wohnhäuser mit Geschäftsräumen",63,21
2015,"D",4,"4","Nichtwohngebäude",292,147
2016,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",18,177
2016,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",144,135
2016,"D",3,"3","Wohnhäuser mit Geschäftsräumen",49,25
2016,"D",4,"4","Nichtwohngebäude",185,104
2017,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",38,26
2017,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",134,126
2017,"D",3,"3","Wohnhäuser mit Geschäftsräumen",66,23
2017,"D",4,"4","Nichtwohngebäude",145,118
2018,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",14,16
2018,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",170,89
2018,"D",3,"3","Wohnhäuser mit Geschäftsräumen",46,17
2018,"D",4,"4","Nichtwohngebäude",312,83
2019,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",11,22
2019,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",114,39
2019,"D",3,"3","Wohnhäuser mit Geschäftsräumen",34,24
2019,"D",4,"4","Nichtwohngebäude",184,82
2020,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",11,26
2020,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",98,91
2020,"D",3,"3","Wohnhäuser mit Geschäftsräumen",24,18
2020,"D",4,"4","Nichtwohngebäude",157,101
2021,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",12,89
2021,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",114,156
2021,"D",3,"3","Wohnhäuser mit Geschäftsräumen",34,42
2021,"D",4,"4","Nichtwohngebäude",181,188
2022,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",13,37
2022,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",143,122
2022,"D",3,"3","Wohnhäuser mit Geschäftsräumen",27,19
2022,"D",4,"4","Nichtwohngebäude",138,150
2023,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",11,93
2023,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",142,128
2023,"D",3,"3","Wohnhäuser mit Geschäftsräumen",60,25
2023,"D",4,"4","Nichtwohngebäude",227,238
2024,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",5,19
2024,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",124,99
2024,"D",3,"3","Wohnhäuser mit Geschäftsräumen",41,24
2024,"D",4,"4","Nichtwohngebäude",219,145
2025,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",42,159
2025,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",144,152
2025,"D",3,"3","Wohnhäuser mit Geschäftsräumen",36,42
2025,"D",4,"4","Nichtwohngebäude",214,180
